filename;label
YNP1_20230525_112502_0_00002_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00005_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00032_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00047_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00128_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00140_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00155_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00167_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_00179_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_00182_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00185_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00194_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_00221_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00224_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_00233_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00248_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_00263_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_00269_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00284_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_00296_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00299_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00314_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_00356_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_00362_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00497_650.wav;White-crowned Sparrow
YNP1_20230525_112502_0_00917_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_00959_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01004_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01028_650.wav;MacGillivray's Warbler
YNP1_20230525_112502_0_01058_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01208_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01220_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01259_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01265_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01358_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01361_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01391_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01421_650.wav;Dusky Flycatcher
YNP1_20230525_112502_0_01427_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01430_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01433_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01439_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01454_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01466_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01475_650.wav;Northern Flicker
YNP1_20230525_112502_0_01484_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01499_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01511_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01637_650.wav;Common Raven
YNP1_20230525_112502_0_01652_650.wav;Common Raven
YNP1_20230525_112502_0_01736_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01763_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01787_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01790_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_01865_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02042_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02081_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02141_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02147_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02165_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02180_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02210_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02216_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02231_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02246_650.wav;Ruby-crowned Kinglet
YNP1_20230525_112502_0_02255_650.wav;Ruby-crowned Kinglet
YNP1_20230525_112502_0_02267_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02285_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02288_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02306_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02372_650.wav;Yellow-rumped Warbler
YNP1_20230525_112502_0_02504_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02510_650.wav;Yellow-rumped Warbler
YNP1_20230525_112502_0_02534_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02573_650.wav;Ruby-crowned Kinglet
YNP1_20230525_112502_0_02579_650.wav;Ruby-crowned Kinglet
YNP1_20230525_112502_0_02654_650.wav;Ruby-crowned Kinglet
YNP1_20230525_112502_0_02852_650.wav;Ruby-crowned Kinglet
YNP1_20230525_112502_0_02867_650.wav;Mountain Chickadee
YNP1_20230525_112502_0_02912_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02924_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02936_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02939_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02954_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02975_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_02999_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03005_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03026_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03029_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03032_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03035_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03044_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03053_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03059_650.wav;American Robin
YNP1_20230525_112502_0_03071_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03074_650.wav;Hammond's Flycatcher
YNP1_20230525_112502_0_03116_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00365_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00368_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00416_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00428_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00437_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00443_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00446_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00449_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00485_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00488_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00518_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00521_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00533_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_00536_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_01139_650.wav;Northern Flicker
YNP1_20230525_122502_0_01145_650.wav;Northern Flicker
YNP1_20230525_122502_0_01148_650.wav;Northern Flicker
YNP1_20230525_122502_0_01151_650.wav;Northern Flicker
YNP1_20230525_122502_0_01157_650.wav;Northern Flicker
YNP1_20230525_122502_0_01181_650.wav;Northern Flicker
YNP1_20230525_122502_0_01184_650.wav;Northern Flicker
YNP1_20230525_122502_0_01187_650.wav;Northern Flicker
YNP1_20230525_122502_0_01190_650.wav;Northern Flicker
YNP1_20230525_122502_0_01193_650.wav;Northern Flicker
YNP1_20230525_122502_0_01199_650.wav;Northern Flicker
YNP1_20230525_122502_0_01259_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_01388_650.wav;Hammond's Flycatcher
YNP1_20230525_122502_0_03476_650.wav;Northern Flicker
YNP1_20230525_132502_0_00086_650.wav;Northern Flicker
YNP1_20230525_132502_0_00089_650.wav;Northern Flicker
YNP1_20230525_132502_0_00101_650.wav;Northern Flicker
YNP1_20230525_132502_0_00134_650.wav;Northern Flicker
YNP1_20230525_132502_0_00137_650.wav;Northern Flicker
YNP1_20230525_132502_0_00182_650.wav;Hermit Thrush
YNP1_20230525_132502_0_00251_650.wav;Dusky Flycatcher
YNP1_20230525_132502_0_00287_650.wav;Northern Flicker
YNP1_20230525_132502_0_00302_650.wav;Northern Flicker
YNP1_20230525_132502_0_00419_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00428_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00434_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00440_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00443_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00446_650.wav;Dusky Flycatcher
YNP1_20230525_132502_0_00449_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00455_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00458_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00461_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00464_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00470_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00473_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00476_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00479_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00500_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00515_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00527_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00530_650.wav;Dusky Flycatcher
YNP1_20230525_132502_0_00539_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00542_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00545_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00551_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00572_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00638_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00782_650.wav;Ruby-crowned Kinglet
YNP1_20230525_132502_0_00794_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00893_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_00902_650.wav;Ruby-crowned Kinglet
YNP1_20230525_132502_0_00908_650.wav;Northern Flicker
YNP1_20230525_132502_0_00920_650.wav;Northern Flicker
YNP1_20230525_132502_0_00929_650.wav;Northern Flicker
YNP1_20230525_132502_0_00983_650.wav;Ruby-crowned Kinglet
YNP1_20230525_132502_0_00989_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_01070_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_01139_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_01193_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_01241_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_01277_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_01463_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_01487_650.wav;Dusky Flycatcher
YNP1_20230525_132502_0_01559_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_01847_650.wav;Hammond's Flycatcher
YNP1_20230525_132502_0_01892_650.wav;Ruby-crowned Kinglet
YNP1_20230525_132502_0_01907_650.wav;Hammond's Flycatcher
